gstin,bill_date,consignment_value,distance_km
29ABCDE1002Z2,2024-01-31 23:59:59.999999,5634.32089392258,807.3153414305227
29ABCDE1003Z3,2024-01-31 23:59:59.999999,30089.000670928734,1113.9198668470306
29ABCDE1003Z3,2024-01-31 23:59:59.999999,30089.000670928734,1113.9198668470306
29ABCDE1003Z3,2024-01-31 23:59:59.999999,30089.000670928734,1113.9198668470306
29ABCDE1004Z4,2024-01-31 23:59:59.999999,5000.0,1191.4964592812933
29ABCDE1016Z6,2024-01-31 23:59:59.999999,15803.011859031294,523.41567467939
29ABCDE1016Z6,2024-01-31 23:59:59.999999,15803.011859031294,523.41567467939
29ABCDE1019Z9,2024-01-31 23:59:59.999999,12393.87166728469,665.5064238360629
29ABCDE1019Z9,2024-01-31 23:59:59.999999,12393.87166728469,665.5064238360629
29ABCDE1019Z9,2024-01-31 23:59:59.999999,12393.87166728469,665.5064238360629
29ABCDE1019Z9,2024-01-31 23:59:59.999999,12393.87166728469,665.5064238360629
29ABCDE1021Z1,2024-01-31 23:59:59.999999,5000.0,237.8391688319286
29ABCDE1026Z6,2024-01-31 23:59:59.999999,10642.264883930997,845.011425996774
29ABCDE1026Z6,2024-01-31 23:59:59.999999,10642.264883930997,845.011425996774
29ABCDE1030Z0,2024-01-31 23:59:59.999999,5000.0,1011.3496905557807
29ABCDE1034Z4,2024-01-31 23:59:59.999999,8892.169067915373,966.4332024355273
29ABCDE1034Z4,2024-01-31 23:59:59.999999,8892.169067915373,966.4332024355273
29ABCDE1035Z5,2024-01-31 23:59:59.999999,13178.925195557225,441.17793191707983
29ABCDE1035Z5,2024-01-31 23:59:59.999999,13178.925195557225,441.17793191707983
29ABCDE1035Z5,2024-01-31 23:59:59.999999,13178.925195557225,441.17793191707983
29ABCDE1035Z5,2024-01-31 23:59:59.999999,13178.925195557225,441.17793191707983
29ABCDE1039Z9,2024-01-31 23:59:59.999999,5000.0,1157.38625822817
29ABCDE1041Z1,2024-01-31 23:59:59.999999,10890.20689931562,179.60204096411638
29ABCDE1041Z1,2024-01-31 23:59:59.999999,10890.20689931562,179.60204096411638
29ABCDE1043Z3,2024-01-31 23:59:59.999999,9805.264091292349,613.0052175115453
29ABCDE1043Z3,2024-01-31 23:59:59.999999,9805.264091292349,613.0052175115453
29ABCDE1044Z4,2024-01-31 23:59:59.999999,5000.0,683.3326710240021
29ABCDE1044Z4,2024-01-31 23:59:59.999999,5000.0,683.3326710240021
29ABCDE1045Z5,2024-01-31 23:59:59.999999,23032.176603148982,662.3560741822394
29ABCDE1046Z6,2024-01-31 23:59:59.999999,5000.0,919.1533044275751
29ABCDE1047Z7,2024-01-31 23:59:59.999999,5000.0,747.144389673612
29ABCDE1047Z7,2024-01-31 23:59:59.999999,5000.0,747.144389673612
29ABCDE1049Z9,2024-01-31 23:59:59.999999,14455.694662476264,129.4701426212426
29ABCDE1049Z9,2024-01-31 23:59:59.999999,14455.694662476264,129.4701426212426
29ABCDE1053Z3,2024-01-31 23:59:59.999999,5000.0,248.62791798662565
29ABCDE1053Z3,2024-01-31 23:59:59.999999,5000.0,248.62791798662565
