monthly_revenue,total_debt,monthly_emi,business_age_months,gst_compliant,disputes,estimated_expenses,profit,profit_margin,emi_ratio,debt_ratio,free_cash_flow,fcf_ratio,repayment_score,default_label
97512.46973670082,391170.701947562,35003.197327415815,25,0,0,68379.890256287,29132.579480413813,0.29875747747007547,0.35896124282289243,0.33429117920660567,-5870.617847002002,-0.06020376535281697,0.45612814910886135,1
170256.9219141035,1281645.8032557399,13076.68823470226,192,1,2,105393.58002283705,64863.34189126645,0.38097330294735815,0.07680561875363631,0.6273096901861178,51786.6536565642,0.3041676841937219,0.5810848454427101,1
104227.16936093057,947493.3761077444,38419.74148218146,97,1,0,59821.761300599246,44405.40806033132,0.4260444597373536,0.36861541686061616,0.7575546935260938,5985.66657814986,0.057429042876737474,0.5252874251979254,1
141042.5549621294,1343186.7218096193,48803.45951737272,229,1,0,96476.23439957137,44566.320562558016,0.315977830765504,0.3460193948590671,0.7936060634148511,-4237.138954814698,-0.030041564093563042,0.5235104230319179,1
96500.20163524392,652019.073064587,14539.311147484394,66,1,0,53990.66394795713,42509.53768728679,0.44051242346587394,0.15066612194698595,0.5630550178616206,27970.226539802403,0.289846301518888,0.6708170458627194,0
243258.2241219698,1502561.465125774,86585.71474652317,151,0,0,152986.67174856778,90271.55237340202,0.37109352705025017,0.3559415722080954,0.5147347263555033,3685.8376268788707,0.015151954842154852,0.4032029532101109,1
118155.2792321132,579044.7780132855,19975.134458638448,48,1,0,73206.47300194472,44948.806230168484,0.38042148029516004,0.16905833229336945,0.40839251377260793,24973.671771530033,0.21136314800179057,0.7098589129508699,0
142137.92762579693,375450.9471065825,42793.01142134691,134,1,1,98531.94822701535,43605.97939878158,0.3067863738212223,0.30106680276081577,0.22012125439114738,812.9679774346587,0.005719571060406479,0.6135369025783294,0
110224.06914258763,476063.06908350164,34391.414589564905,139,1,0,71658.79325022994,38565.27589235769,0.34988071291823775,0.31201365416001486,0.3599206845857314,4173.861302792793,0.03786705875822293,0.6672183329602746,0
91211.17050700025,699938.1375482335,12461.858386268237,129,1,0,59012.65947852376,32198.51102847649,0.3530106109756077,0.13662644955654657,0.6394850302304025,19736.652642208246,0.21638416141906108,0.6535039111082607,0
144977.76575566712,643908.0473852739,13161.370444526043,177,1,0,88113.86183320823,56863.90392245889,0.3922249982683024,0.0907819925070929,0.37011885008081186,43702.53347793284,0.30144300576120947,0.7526515479729192,0
254689.59098834507,2022897.369234991,53570.395683727285,188,1,0,170602.83758143216,84086.7534069129,0.3301538672256175,0.21033602306180915,0.6618832756981293,30516.357723185618,0.11981784416380835,0.6173006080658375,0
155701.03845260447,842293.6483280841,41240.87700197125,80,1,0,102488.19431221572,53212.84414038874,0.3417629366459671,0.26487220259950295,0.45080712407733825,11971.967138417502,0.07689073404646417,0.6588089817369973,0
168234.7884895467,1454623.436609476,38853.865739899506,193,1,0,114045.21319039431,54189.575299152406,0.32210683524899775,0.2309502457175419,0.7205324226088249,15335.709559252893,0.09115658953145579,0.5914601749303359,1
163192.6578111095,644193.6446534295,29993.871561902357,67,1,0,102050.34133507131,61142.31647603819,0.3746634027298492,0.1837942464091696,0.3289535475502539,31148.44491413585,0.1908691563206797,0.7277962371712561,0
110236.4614744001,776221.1218096297,10753.87720012079,92,0,0,72669.62706339013,37566.83441100997,0.34078410998101577,0.09755281561371718,0.5867849223295094,26812.957210889173,0.2432312943672985,0.4849433970556603,0
139616.03911533995,1056066.1960310617,41404.12564920686,79,1,1,92753.47055753991,46862.56855780004,0.33565318751870493,0.296557085500771,0.6303395862936526,5458.442908593177,0.03909610201793387,0.49227528991159586,1
125465.01219032641,518819.24161394197,20646.920853530704,240,1,1,77774.24214305595,47690.77004727046,0.38011210627330183,0.16456317576576637,0.344597557887898,27043.849193739763,0.2155489305075355,0.6307954623273241,0
628998.2436830831,3387560.369247075,191679.92871968527,21,1,2,439534.575176429,189463.6685066541,0.3012149404380757,0.3047384164338971,0.4488036338293652,-2216.2602130312007,-0.0035234759958214603,0.5434635432776317,1
83268.19112541364,602405.8110676458,8794.828580465324,98,1,0,58557.94295104863,24710.248174365006,0.29675495336686114,0.10562050720207279,0.6028770839999171,15915.419593899678,0.19113444616478834,0.6768886719191958,0
239169.65832073046,2060092.070848108,47925.29108812245,105,1,1,158300.38356022493,80869.27476050553,0.33812514232912644,0.20038198584476732,0.7177931366491489,32943.983672383096,0.1377431564843592,0.5045092646673485,1
58723.48193153297,263133.6432373427,12757.481021313306,212,1,0,38929.4998536421,19793.982077890876,0.33707098807541974,0.2172466720585053,0.37340775583910385,7036.5010565775665,0.11982431601691435,0.7010790044248667,0
251377.06908287568,2104339.833772713,65390.16028536718,108,1,0,178478.45716221753,72898.61192065815,0.28999706372033657,0.26012778541788517,0.6976040155698464,7508.451635290985,0.02986927830245148,0.586667681161892,1
583355.0896724408,4287884.738204426,159690.4223173587,221,1,0,372821.03251996246,210534.05715247832,0.360902066133845,0.27374479994170675,0.612532117246706,50843.63483511965,0.08715726619213833,0.6067424448493055,0
207800.60357392833,979430.2258838004,27699.817006511825,179,1,0,149453.20229748616,58347.401276442164,0.28078552358816494,0.1332999833980616,0.392776460157294,30647.584269930347,0.14748554019010338,0.728847068593587,0
128648.29052755504,1183415.5026523091,26542.49938056865,189,0,1,74984.22996431826,53664.06056323678,0.4171377664108372,0.20631832161721217,0.7665702991462309,27121.561182668127,0.21081944479362505,0.2875015816092459,1
